aa,associate
associates,associate
as,associate
associates degree,associate
associate,associate
ba,bachelor
bs,bachelor
bachelor of science,bachelor
bsc,bachelor
bachelors,bachelor
bachelor,bachelor
bachelor of arts,bachelor
bba,bachelor
ab,bachelor
bachelors of science,bachelor
bfa,bachelor
bachelor's,bachelor
bse,bachelor
be,bachelor
btech,bachelor
bachelor's degree,bachelor
bachelor of engineering,bachelor
bsba,bachelor
ba (hons),bachelor
bsc (hons),bachelor
beng,bachelor
llb,bachelor
bsee,bachelor
ba hons,bachelor
bachelor degree,bachelor
b tech,bachelor
bachelor of commerce,bachelor
bcom,bachelor
bachelors degree,bachelor
bachelor of technology,bachelor
bachelor's of science,bachelor
sb,bachelor
bachelor’s degree,bachelor
bsc hons,bachelor
bachelor of fine arts,bachelor
llm,bachelor
bachelor of business administration,bachelor
basc,bachelor
bachelors of arts,bachelor
b sc,bachelor
bsc(hons),bachelor
bachelors of business administration,bachelor
bca,bachelor
bsme,bachelor
bcomm,bachelor
scb,bachelor
bachelors of engineering,bachelor
b eng,bachelor
bachelor of business,bachelor
diploma,high_school
undergraduate,high_school
high school,high_school
undergrad,high_school
mba,master
ms,master
masters,master
msc,master
ma,master
master,master
master of science,master
master's,master
meng,master
master's degree,master
md,master
mfa,master
masters of science,master
masters degree,master
master of arts,master
master degree,master
executive mba,master
master of business administration,master
msee,master
mphil,master
mca,master
emba,master
sm,master
mpa,master
masters of business administration,master
mph,master
master’s degree,master
mse,master
bs and ms,master
mps,master
mpp,master
masters in business administration,master
master of engineering,master
med,master
bs/ms,master
phd,phd_or_above
jd,phd_or_above
juris doctor,phd_or_above
juris doctorate,phd_or_above
doctorate,phd_or_above
ph d,phd_or_above
postgraduate,phd_or_above
jd/mba,phd_or_above
post graduate,phd_or_above
dr,phd_or_above
